ra       dec         new_ra      new_dec         radius 
8.53166666667       -7.60222222222       8.5410445       -7.6021411       0.0027604338152       2043 
8.54625       -7.565       8.554917       -7.564833       0.00819175932956       2045 
8.55833333333       -21.4711111111       8.558542       -21.47       0.00519508104997       2046 
8.55833333333       -21.4411111111       8.557589       -21.43905       0.00852871985029       2047 
8.55       24.6411111111       8.5359526       +24.6473786       0.00327155239       2048 
8.55       -21.4177777778       8.564593       -21.417554       0.00216379755089       2051 
8.56583333333       -21.4777777778       8.570117       -21.477745       0.00458994313489       2057 
8.575       10.1944444444       8.5863831       +10.1987380       0.00377152401524       2061 
8.6       12.2777777778       8.6026035       +12.2683881       0.00782354220564       2062 
8.6       -7.59972222222       8.6046827       -7.5994790       0.00471179965548       2064 
8.6       30.3997222222       8.6227463       +30.3968783       0.00263092614734       2065 
8.6       3.58305555556       8.6120570       +3.5913095       0.00246177356873       2068 
8.66708333333       -10.7669444444       8.6670430       -10.7664892       0.0108468897679       2076 
8.69375       -8.39666666667       8.6587232       -8.3456919       0.00291592119122       2081 
8.71333333333       39.545       8.7131784       +39.5449172       0.0061842590038       2088 
8.75791666667       23.3152777778       8.7759947       +23.3145157       0.00287836214106       2106 
8.825       2.93138888889       8.8154856       +2.9555597       0.00353788352827       2118 
8.825       4.88138888889       8.8528129       +4.8742908       0.00282590346968       2120 
8.825       36.5147222222       8.8447652       +36.5046479       0.00233770727882       2121 
8.89208333333       -2.84888888889       8.8912987       -2.8487905       0.0060371025871       2131 
8.90041666667       -4.73333333333       8.9007111       -4.7331575       0.00501599334694       2133 
8.90083333333       9.12277777778       8.9018331       +9.1243434       0.0141634900308       2134 
8.9       24.2727777778       8.8746848       +24.3043222       0.00192423876869       2136 
8.91708333333       -20.1263888889       8.9145135       -20.1253681       0.0121785201692       2138 
8.9       8.99305555556       8.9131714       +8.9982476       0.0035634219988       2139 
8.98291666667       31.8711111111       8.9825929       +31.8703677       0.00579440506152       2147 
8.975       23.9711111111       9.0025334       +23.9504228       0.00325673633927       2148 
9.03958333333       12.6416666667       9.0400110       +12.6420413       0.00335772660569       2150 
9.00791666667       -9.88833333333       9.0083664       -9.8890229       0.00542058785344       2151 
9.01791666667       23.9583333333       9.0169289       +23.9577635       0.0154512360473       2154 
9.025       21.4713888889       9.0405429       +21.4650406       0.00257518970597       2159 
9.025       1.70361111111       9.0081045       +1.6860498       0.00349965823257       2162 
9.05       25.8088888889       9.0423513       +25.8076732       0.00524718367903       2168 
9.16458333333       -22.5933333333       9.1612081       -22.5932490       0.00499213413502       2192 
9.19       21.5680555556       9.1888574       +21.5651437       0.00456849082952       2194 
9.19083333333       1.88638888889       9.1909186       +1.8864752       0.00221146553114       2195 
9.25       25.695       9.2585073       +25.7006802       0.00471724923339       2210 
9.27791666667       28.8352777778       9.2812132       +28.8328700       0.00735003900343       2216 
9.27791666667       25.8397222222       9.2623424       +25.8462094       0.00769891833332       2221 
9.30166666667       1.9425       9.3017587       +1.9420613       0.0189094813505       2223 
9.31       -22.585       9.3067348       -22.5871395       0.00869282467294       2228 
9.34       29.1488888889       9.3382775       +29.1492466       0.00855402216699       2231 
9.34166666667       -19.9366666667       9.3398394       -19.9341545       0.0141515341131       2232 
9.3975       -22.5483333333       9.3930909       -22.5492174       0.00811911685869       2241 
9.39958333333       0.280555555556       9.3992128       +0.2807314       0.00343251017593       2243 
9.425       4.01694444444       9.4454826       +4.0249685       0.00297543592186       2254 
9.48458333333       4.91166666667       9.4817915       +4.9114294       0.00405536808452       2266 
9.48958333333       8.63388888889       9.4903547       +8.6350785       0.0132258977773       2268 
9.49       -9.25388888889       9.4890424       -9.2535513       0.00821018767853       2269 
9.55208333333       2.72888888889       9.5516897       +2.7285150       0.0118969174031       2279 
9.59125       32.6366666667       9.5919192       +32.6382513       0.00625931668059       2286 
9.5975       29.4727777778       9.5967633       +29.4724864       0.00345270416881       2287 
9.6025       13.4855555556       9.5903570       +13.4789414       0.00403594284935       2290 
9.60541666667       3.16638888889       9.6054289       +3.1663597       0.00610481425039       2291 
